No. Previous Orders by Customer,Customer Join Date,Customer Join Date_Year,Customer Join Date_Month,Customer Join Date_Day,Parent Service Category,Parent Service Category_Encoded,Service Name,Service Name_Encoded,Order Status,Order Status_Encoded,Order City,Order City_Encoded,Order Region,Order Region_Encoded,Desired Date,Desired Date_Year,Desired Date_Month,Desired Date_Day,Creation Date,Creation Date_Year,Creation Date_Month,Creation Date_Day,Finish Date,Finish Date_Year,Finish Date_Month,Finish Date_Day,Device,Device_android,Device_ios,Device_web,Price,Discount,Quoted Task?,Quoted Task?_AUTOMATIC_ALLOCATION,Quoted Task?_FAVORITE_ALLOCATION,Quoted Task?_MANUAL_ALLOCATION
0.043478260869565216,1400-06-23 23:51:58.578439+04:30,1400,6,23,آموزش,1,آموزش زبان‌ های خارجی,8,تخصیص یافته,4,تهران,8,الهیه,65,1400-06-27 04:30:02.000000+04:30,1400,6,27,1400-06-24 00:42:00.608810+04:30,1400,6,24,1400-06-27 05:30:02.000000+04:30,1400,6,27,web,0.0,0.0,1.0,0.0,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.0,1400-05-07 22:36:56.155232+04:30,1400,5,7,نصب و تعمیر لوازم خانگی,24,نصب و تعمیر ماشین لباسشویی,185,تخصیص یافته,4,تهران,8,شهرزیبا,406,1400-06-24 11:00:01.000000+04:30,1400,6,24,1400-06-24 00:36:04.271683+04:30,1400,6,24,1400-06-24 12:00:01.000000+04:30,1400,6,24,android,1.0,0.0,0.0,0.0,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.0,1400-06-24 00:22:02.094506+04:30,1400,6,24,خدمات کامپیوتری,15,تعمیر کامپیوتر در محل,68,Achar_Pending,0,تهران,8,شهرک غرب,440,1400-06-24 09:00:02.000000+04:30,1400,6,24,1400-06-24 00:24:34.171426+04:30,1400,6,24,1400-06-24 10:00:02.000000+04:30,1400,6,24,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.0,1400-06-24 00:20:16.584023+04:30,1400,6,24,باربری و جابجایی,3,اسباب کشی و حمل بار (درون و بین شهری),12,Achar_Pending,0,تهران,8,یافت آباد,853,1400-06-25 16:15:02.000000+04:30,1400,6,25,1400-06-24 00:23:25.062425+04:30,1400,6,24,1400-06-25 17:15:02.000000+04:30,1400,6,25,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.21739130434782608,1399-05-09 16:03:39.195821+04:30,1399,5,9,نصب و تعمیر لوازم خانگی,24,نصب و تعمیر اجاق گاز,176,تخصیص یافته,4,تهران,8,تهران_آزادی,166,1400-06-25 16:00:02.000000+04:30,1400,6,25,1400-06-24 00:22:14.437094+04:30,1400,6,24,1400-06-25 17:00:02.000000+04:30,1400,6,25,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.0,1400-06-24 00:16:33.735988+04:30,1400,6,24,نظافت و پذیرایی,25,سرویس ویژه نظافت,122,تخصیص یافته,4,تهران,8,نارمک,663,1400-06-24 13:00:02.000000+04:30,1400,6,24,1400-06-24 00:20:23.922515+04:30,1400,6,24,1400-06-24 18:00:02.000000+04:30,1400,6,24,web,0.0,0.0,1.0,0.45555555555555555,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.0,1399-06-30 23:57:28.258521+04:30,1399,6,30,نظافت و پذیرایی,25,سرویس عادی نظافت,117,ثبت‌ شده,6,تهران,8,پیروزی,757,1400-06-24 10:30:01.000000+04:30,1400,6,24,1400-06-24 00:10:14.689346+04:30,1400,6,24,1400-06-24 18:30:01.000000+04:30,1400,6,24,android,1.0,0.0,0.0,0.5888888888888888,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.043478260869565216,1400-06-23 23:51:58.578439+04:30,1400,6,23,نظافت و پذیرایی,25,نظافت راه‌ پله,194,تخصیص یافته,4,تهران,8,الهیه,65,1400-06-24 09:45:02.000000+04:30,1400,6,24,1400-06-24 00:00:47.421361+04:30,1400,6,24,1400-06-24 13:45:02.000000+04:30,1400,6,24,web,0.0,0.0,1.0,0.3555555555555555,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.043478260869565216,1399-07-05 15:01:06.276714+03:30,1399,7,5,نظافت و پذیرایی,25,سرویس عادی نظافت,117,ثبت‌ شده,6,تهران,8,مرزداران,587,1400-06-26 08:00:02.000000+04:30,1400,6,26,1400-06-23 23:58:28.468956+04:30,1400,6,23,1400-06-26 14:00:02.000000+04:30,1400,6,26,web,0.0,0.0,1.0,0.47777777777777775,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.43478260869565216,1400-06-23 11:35:14.815913+04:30,1400,6,23,نظافت و پذیرایی,25,سرویس ویژه نظافت,122,ثبت‌ شده,6,تهران,8,نیروی هوایی,689,1400-06-27 10:00:01.000000+04:30,1400,6,27,1400-06-23 23:54:15.652236+04:30,1400,6,23,1400-06-27 16:00:01.000000+04:30,1400,6,27,android,1.0,0.0,0.0,0.5111111111111111,0.0,AUTOMATIC_ALLOCATION,1.0,0.0,0.0
0.0,1400-06-23 23:44:54.222173+04:30,1400,6,23,برقکاری,5,نصب و تعمیر آیفون تصویری,175,Achar_Pending,0,تهران,8,پل چوبی,751,1400-06-25 11:45:02.000000+04:30,1400,6,25,1400-06-23 23:51:24.245940+04:30,1400,6,23,1400-06-25 12:45:02.000000+04:30,1400,6,25,web,0.0,0.0,1.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
0.0,1400-06-23 23:37:46.836727+04:30,1400,6,23,لوله کشی,21,لوله‌ کشی آب و فاضلاب,146,Achar_Pending,0,تهران,8,سوهانک,372,1400-06-24 18:00:01.000000+04:30,1400,6,24,1400-06-23 23:50:39.379507+04:30,1400,6,23,1400-06-24 19:00:01.000000+04:30,1400,6,24,android,1.0,0.0,0.0,0.0,0.0,MANUAL_ALLOCATION,0.0,0.0,1.0
